"Date","mar_Open","mar_High","mar_Low","mar_Close","mar_Volume","mar_TWAP","mar_VWAP","mar_PreviousCloseDate","hlt_Open","hlt_High","hlt_Low","hlt_Close","hlt_Volume","hlt_TWAP","hlt_VWAP","hlt_PreviousCloseDate"
"2021-12-10",145,146.62,142.41,146.13,1443838,145.034226,145.261579,"2021-12-09",158.21,160.95,156.02,160.81,1705555,159.052802,159.415724,"2021-12-09"
"2021-12-09",143.21,145.03,142.33,144.31,881900,144.000889,143.971382,"2021-12-08",156.26,158.48,155.36,157.15,1103149,157.405466,157.278264,"2021-12-08"
"2021-12-08",144.42,145.61,142.02,144.39,1508270,144.3852,144.378598,"2021-12-07",157.46,159.57,155.81,157.64,1618506,158.011353,157.922881,"2021-12-07"
"2021-12-07",145.88,148.753,142.13,143.15,1980147,145.054598,145.019672,"2021-12-06",158.49,162.18,155.7,156.53,2416568,158.798028,158.295948,"2021-12-06"
"2021-12-06",141.52,146,141.24,144.31,1709883,144.578118,144.487136,"2021-12-03",152.22,159.4842,152.22,156.7,2421826,156.898897,156.814952,"2021-12-03"
"2021-12-03",139.58,140.4,135.54,138.74,2732528,138.176931,138.211527,"2021-12-02",151.57,152.215,146.8016,149.98,3104572,149.671833,149.802135,"2021-12-02"
"2021-12-02",131.66,140.57,130.97,139.59,3150678,137.905388,138.259364,"2021-12-01",143.37,152.59,143.13,151.12,3099022,150.03794,150.028194,"2021-12-01"
"2021-12-01",137.56,138.5951,129.88,129.96,3570802,133.217041,133.374686,"2021-11-30",150.26,152.07,142.11,142.5,3200818,146.339253,146.367808,"2021-11-30"
"2021-11-30",135.99,137.43,133.79,135.07,2992356,135.465629,135.590936,"2021-11-29",148.56,149,145.7,147.56,3466028,147.567424,147.570678,"2021-11-29"
"2021-11-29",138.47,140.4,137.9025,138.07,2557966,139.063857,139.011271,"2021-11-26",149.7,154.55,149.7,150.77,3155282,152.086694,151.906276,"2021-11-26"
